NodeId	Type	X	Y	Z
168	Force	0	0	-7.142857
169	Force	0	0	-7.142857
170	Force	0	0	-7.142857
171	Force	0	0	-7.142857
172	Force	0	0	-7.142857
173	Force	0	0	-7.142857
174	Force	0	0	-7.142857
285	Force	0	0	-7.142857
286	Force	0	0	-7.142857
287	Force	0	0	-7.142857
288	Force	0	0	-7.142857
289	Force	0	0	-7.142857
290	Force	0	0	-7.142857
291	Force	0	0	-7.142857
120	Fixed	0	0	0
121	Fixed	0	0	0
122	Fixed	0	0	0
123	Fixed	0	0	0
124	Fixed	0	0	0
125	Fixed	0	0	0
132	Fixed	0	0	0
133	Fixed	0	0	0
134	Fixed	0	0	0
135	Fixed	0	0	0
136	Fixed	0	0	0
137	Fixed	0	0	0
138	Fixed	0	0	0
139	Fixed	0	0	0
140	Fixed	0	0	0
141	Fixed	0	0	0
142	Fixed	0	0	0
143	Fixed	0	0	0
150	Fixed	0	0	0
151	Fixed	0	0	0
152	Fixed	0	0	0
153	Fixed	0	0	0
154	Fixed	0	0	0
155	Fixed	0	0	0
276	Fixed	0	0	0
277	Fixed	0	0	0
278	Fixed	0	0	0
279	Fixed	0	0	0
280	Fixed	0	0	0
281	Fixed	0	0	0
282	Fixed	0	0	0
283	Fixed	0	0	0
284	Fixed	0	0	0
