Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	-0,15001	9,999e-002	0,	
2	-0,15001	-0,10001	0,	
3	-0,15001	5,999e-002	0,	
4	-0,15001	1,999e-002	0,	
5	-0,15001	-2,001e-002	0,	
6	-0,15001	-6,001e-002	0,	
7	-0,15001	-0,10001	1,5e-002	
8	-0,15001	9,999e-002	1,5e-002	
9	-0,15001	5,999e-002	1,5e-002	
10	-0,15001	1,999e-002	1,5e-002	
11	-0,15001	-2,001e-002	1,5e-002	
12	-0,15001	-6,001e-002	1,5e-002	
13	0,14999	-0,10001	0,	
14	-0,10715	-0,10001	0,	
15	-6,4292e-002	-0,10001	0,	
16	-2,1435e-002	-0,10001	0,	
17	2,1422e-002	-0,10001	0,	
18	6,4279e-002	-0,10001	0,	
19	0,10714	-0,10001	0,	
20	0,14999	-0,10001	1,5e-002	
21	-0,10715	-0,10001	1,5e-002	
22	-6,4292e-002	-0,10001	1,5e-002	
23	-2,1435e-002	-0,10001	1,5e-002	
24	2,1422e-002	-0,10001	1,5e-002	
25	6,4279e-002	-0,10001	1,5e-002	
26	0,10714	-0,10001	1,5e-002	
27	0,14999	9,999e-002	0,	
28	0,14999	-6,001e-002	0,	
29	0,14999	-2,001e-002	0,	
30	0,14999	1,999e-002	0,	
31	0,14999	5,999e-002	0,	
32	0,14999	9,999e-002	1,5e-002	
33	0,14999	-6,001e-002	1,5e-002	
34	0,14999	-2,001e-002	1,5e-002	
35	0,14999	1,999e-002	1,5e-002	
36	0,14999	5,999e-002	1,5e-002	
37	0,10714	9,999e-002	0,	
38	6,4279e-002	9,999e-002	0,	
39	2,1422e-002	9,999e-002	0,	
40	-2,1435e-002	9,999e-002	0,	
41	-6,4292e-002	9,999e-002	0,	
42	-0,10715	9,999e-002	0,	
43	0,10714	9,999e-002	1,5e-002	
44	6,4279e-002	9,999e-002	1,5e-002	
45	2,1422e-002	9,999e-002	1,5e-002	
46	-2,1435e-002	9,999e-002	1,5e-002	
47	-6,4292e-002	9,999e-002	1,5e-002	
48	-0,10715	9,999e-002	1,5e-002	
49	4,0189e-002	-3,658e-005	1,5e-002	
50	3,7488e-002	-1,4486e-002	1,5e-002	
51	2,975e-002	-2,6984e-002	1,5e-002	
52	1,8019e-002	-3,5843e-002	1,5e-002	
53	3,8799e-003	-3,9866e-002	1,5e-002	
54	-1,0757e-002	-3,851e-002	1,5e-002	
55	-2,3916e-002	-3,1957e-002	1,5e-002	
56	-3,3819e-002	-2,1094e-002	1,5e-002	
57	-3,913e-002	-7,3866e-003	1,5e-002	
58	-3,913e-002	7,3134e-003	1,5e-002	
59	-3,3819e-002	2,1021e-002	1,5e-002	
60	-2,3916e-002	3,1884e-002	1,5e-002	
61	-1,0757e-002	3,8436e-002	1,5e-002	
62	3,8799e-003	3,9793e-002	1,5e-002	
63	1,8019e-002	3,577e-002	1,5e-002	
64	2,975e-002	2,6911e-002	1,5e-002	
65	3,7488e-002	1,4413e-002	1,5e-002	
66	0,14799	-9,501e-002	1,5e-002	
67	0,14649	-9,2412e-002	1,5e-002	
68	0,14349	-9,2412e-002	1,5e-002	
69	0,14199	-9,501e-002	1,5e-002	
70	0,14349	-9,7608e-002	1,5e-002	
71	0,14649	-9,7608e-002	1,5e-002	
72	4,1892e-003	-5,0037e-002	1,5e-002	
73	2,1892e-003	-4,6572e-002	1,5e-002	
74	-1,8108e-003	-4,6572e-002	1,5e-002	
75	-3,8108e-003	-5,0037e-002	1,5e-002	
76	-1,8108e-003	-5,3501e-002	1,5e-002	
77	2,1892e-003	-5,3501e-002	1,5e-002	
78	-0,14101	9,499e-002	1,5e-002	
79	-0,14301	9,8454e-002	1,5e-002	
80	-0,14701	9,8454e-002	1,5e-002	
81	-0,14901	9,499e-002	1,5e-002	
82	-0,14701	9,1526e-002	1,5e-002	
83	-0,14301	9,1526e-002	1,5e-002	
84	0,14899	9,499e-002	1,5e-002	
85	0,14699	9,8454e-002	1,5e-002	
86	0,14299	9,8454e-002	1,5e-002	
87	0,14099	9,499e-002	1,5e-002	
88	0,14299	9,1526e-002	1,5e-002	
89	0,14699	9,1526e-002	1,5e-002	
90	5,4189e-002	-3,2248e-005	1,5e-002	
91	5,2189e-002	3,4319e-003	1,5e-002	
92	4,8189e-002	3,4319e-003	1,5e-002	
93	4,6189e-002	-3,2248e-005	1,5e-002	
94	4,8189e-002	-3,4963e-003	1,5e-002	
95	5,2189e-002	-3,4963e-003	1,5e-002	
96	-0,14099	-9,5026e-002	1,5e-002	
97	-0,14299	-9,1562e-002	1,5e-002	
98	-0,14699	-9,1562e-002	1,5e-002	
99	-0,14899	-9,5026e-002	1,5e-002	
100	-0,14699	-9,849e-002	1,5e-002	
101	-0,14299	-9,849e-002	1,5e-002	
102	4,1892e-003	4,9963e-002	1,5e-002	
103	2,1892e-003	5,3428e-002	1,5e-002	
104	-1,8108e-003	5,3428e-002	1,5e-002	
105	-3,8108e-003	4,9963e-002	1,5e-002	
106	-1,8108e-003	4,6499e-002	1,5e-002	
107	2,1892e-003	4,6499e-002	1,5e-002	
108	-4,5811e-002	-9,2125e-004	1,5e-002	
109	-4,7811e-002	2,5429e-003	1,5e-002	
110	-5,1811e-002	2,5429e-003	1,5e-002	
111	-5,3811e-002	-9,2125e-004	1,5e-002	
112	-5,1811e-002	-4,3854e-003	1,5e-002	
113	-4,7811e-002	-4,3854e-003	1,5e-002	
114	3,0189e-002	-3,658e-005	0,	
115	1,5189e-002	2,5944e-002	0,	
116	-1,4811e-002	2,5944e-002	0,	
117	-2,9811e-002	-3,658e-005	0,	
118	-1,4811e-002	-2,6017e-002	0,	
119	1,5189e-002	-2,6017e-002	0,	
120	0,14799	-9,501e-002	0,	
121	0,14649	-9,2412e-002	0,	
122	0,14349	-9,2412e-002	0,	
123	0,14199	-9,501e-002	0,	
124	0,14349	-9,7608e-002	0,	
125	0,14649	-9,7608e-002	0,	
126	4,1892e-003	-5,0037e-002	0,	
127	2,1892e-003	-4,6572e-002	0,	
128	-1,8108e-003	-4,6572e-002	0,	
129	-3,8108e-003	-5,0037e-002	0,	
130	-1,8108e-003	-5,3501e-002	0,	
131	2,1892e-003	-5,3501e-002	0,	
132	-0,14101	9,499e-002	0,	
133	-0,14301	9,8454e-002	0,	
134	-0,14701	9,8454e-002	0,	
135	-0,14901	9,499e-002	0,	
136	-0,14701	9,1526e-002	0,	
137	-0,14301	9,1526e-002	0,	
138	0,14899	9,499e-002	0,	
139	0,14699	9,8454e-002	0,	
140	0,14299	9,8454e-002	0,	
141	0,14099	9,499e-002	0,	
142	0,14299	9,1526e-002	0,	
143	0,14699	9,1526e-002	0,	
144	5,4189e-002	-3,2248e-005	0,	
145	5,2189e-002	3,4319e-003	0,	
146	4,8189e-002	3,4319e-003	0,	
147	4,6189e-002	-3,2248e-005	0,	
148	4,8189e-002	-3,4963e-003	0,	
149	5,2189e-002	-3,4963e-003	0,	
150	-0,14099	-9,5026e-002	0,	
151	-0,14299	-9,1562e-002	0,	
152	-0,14699	-9,1562e-002	0,	
153	-0,14899	-9,5026e-002	0,	
154	-0,14699	-9,849e-002	0,	
155	-0,14299	-9,849e-002	0,	
156	4,1892e-003	4,9963e-002	0,	
157	2,1892e-003	5,3428e-002	0,	
158	-1,8108e-003	5,3428e-002	0,	
159	-3,8108e-003	4,9963e-002	0,	
160	-1,8108e-003	4,6499e-002	0,	
161	2,1892e-003	4,6499e-002	0,	
162	-4,5811e-002	-9,2125e-004	0,	
163	-4,7811e-002	2,5429e-003	0,	
164	-5,1811e-002	2,5429e-003	0,	
165	-5,3811e-002	-9,2125e-004	0,	
166	-5,1811e-002	-4,3854e-003	0,	
167	-4,7811e-002	-4,3854e-003	0,	
168	3,0189e-002	-3,658e-005	2,e-002	
169	1,8894e-002	2,3418e-002	2,e-002	
170	-6,4864e-003	2,9211e-002	2,e-002	
171	-2,684e-002	1,298e-002	2,e-002	
172	-2,684e-002	-1,3053e-002	2,e-002	
173	-6,4864e-003	-2,9284e-002	2,e-002	
174	1,8894e-002	-2,3492e-002	2,e-002	
175	4,0189e-002	-3,658e-005	2,e-002	
176	3,7488e-002	1,4413e-002	2,e-002	
177	2,975e-002	2,6911e-002	2,e-002	
178	1,8019e-002	3,577e-002	2,e-002	
179	3,8799e-003	3,9793e-002	2,e-002	
180	-1,0757e-002	3,8436e-002	2,e-002	
181	-2,3916e-002	3,1884e-002	2,e-002	
182	-3,3819e-002	2,1021e-002	2,e-002	
183	-3,913e-002	7,3134e-003	2,e-002	
184	-3,913e-002	-7,3866e-003	2,e-002	
185	-3,3819e-002	-2,1094e-002	2,e-002	
186	-2,3916e-002	-3,1957e-002	2,e-002	
187	-1,0757e-002	-3,851e-002	2,e-002	
188	3,8799e-003	-3,9866e-002	2,e-002	
189	1,8019e-002	-3,5843e-002	2,e-002	
190	2,975e-002	-2,6984e-002	2,e-002	
191	3,7488e-002	-1,4486e-002	2,e-002	
192	-0,15001	7,999e-002	0,	
193	-0,15001	3,999e-002	0,	
194	-0,15001	-9,755e-006	0,	
195	-0,15001	-4,001e-002	0,	
196	-0,15001	-8,001e-002	0,	
197	-0,15001	-0,10001	7,5e-003	
198	-0,15001	7,999e-002	1,5e-002	
199	-0,15001	3,999e-002	1,5e-002	
200	-0,15001	-9,755e-006	1,5e-002	
201	-0,15001	-4,001e-002	1,5e-002	
202	-0,15001	-8,001e-002	1,5e-002	
203	-0,15001	9,999e-002	7,5e-003	
204	-0,12858	-0,10001	0,	
205	-8,5721e-002	-0,10001	0,	
206	-4,2864e-002	-0,10001	0,	
207	-6,4285e-006	-0,10001	0,	
208	4,2851e-002	-0,10001	0,	
209	8,5708e-002	-0,10001	0,	
210	0,12857	-0,10001	0,	
211	0,14999	-0,10001	7,5e-003	
212	-0,12858	-0,10001	1,5e-002	
