Node Number	X Location (m)	Y Location (m)	Z Location (m)	
120	-0,13101	8,499e-002	0,	
121	-0,13301	8,8454e-002	0,	
122	-0,13701	8,8454e-002	0,	
123	-0,13901	8,499e-002	0,	
124	-0,13701	8,1526e-002	0,	
125	-0,13301	8,1526e-002	0,	
132	0,13919	8,4963e-002	0,	
133	0,13719	8,8427e-002	0,	
134	0,13319	8,8427e-002	0,	
135	0,13119	8,4963e-002	0,	
136	0,13319	8,1499e-002	0,	
137	0,13719	8,1499e-002	0,	
144	0,13919	-8,5037e-002	0,	
145	0,13719	-8,1572e-002	0,	
146	0,13319	-8,1572e-002	0,	
147	0,13119	-8,5037e-002	0,	
148	0,13319	-8,8501e-002	0,	
149	0,13719	-8,8501e-002	0,	
156	-0,13081	-8,5037e-002	0,	
157	-0,13281	-8,1572e-002	0,	
158	-0,13681	-8,1572e-002	0,	
159	-0,13881	-8,5037e-002	0,	
160	-0,13681	-8,8501e-002	0,	
161	-0,13281	-8,8501e-002	0,	
