Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	-0,15001	9,999e-002	0,	
2	-0,15001	-0,10001	0,	
3	-0,15001	5,999e-002	0,	
4	-0,15001	1,999e-002	0,	
5	-0,15001	-2,001e-002	0,	
6	-0,15001	-6,001e-002	0,	
7	-0,15001	-0,10001	1,5e-002	
8	-0,15001	9,999e-002	1,5e-002	
9	-0,15001	5,999e-002	1,5e-002	
10	-0,15001	1,999e-002	1,5e-002	
11	-0,15001	-2,001e-002	1,5e-002	
12	-0,15001	-6,001e-002	1,5e-002	
13	0,14999	-0,10001	0,	
14	-0,10715	-0,10001	0,	
15	-6,4292e-002	-0,10001	0,	
16	-2,1435e-002	-0,10001	0,	
17	2,1422e-002	-0,10001	0,	
18	6,4279e-002	-0,10001	0,	
19	0,10714	-0,10001	0,	
20	0,14999	-0,10001	1,5e-002	
21	-0,10715	-0,10001	1,5e-002	
22	-6,4292e-002	-0,10001	1,5e-002	
23	-2,1435e-002	-0,10001	1,5e-002	
24	2,1422e-002	-0,10001	1,5e-002	
25	6,4279e-002	-0,10001	1,5e-002	
26	0,10714	-0,10001	1,5e-002	
27	0,14999	9,999e-002	0,	
28	0,14999	-6,001e-002	0,	
29	0,14999	-2,001e-002	0,	
30	0,14999	1,999e-002	0,	
31	0,14999	5,999e-002	0,	
32	0,14999	9,999e-002	1,5e-002	
33	0,14999	-6,001e-002	1,5e-002	
34	0,14999	-2,001e-002	1,5e-002	
35	0,14999	1,999e-002	1,5e-002	
36	0,14999	5,999e-002	1,5e-002	
37	0,10714	9,999e-002	0,	
38	6,4279e-002	9,999e-002	0,	
39	2,1422e-002	9,999e-002	0,	
40	-2,1435e-002	9,999e-002	0,	
41	-6,4292e-002	9,999e-002	0,	
42	-0,10715	9,999e-002	0,	
43	0,10714	9,999e-002	1,5e-002	
44	6,4279e-002	9,999e-002	1,5e-002	
45	2,1422e-002	9,999e-002	1,5e-002	
46	-2,1435e-002	9,999e-002	1,5e-002	
47	-6,4292e-002	9,999e-002	1,5e-002	
48	-0,10715	9,999e-002	1,5e-002	
49	4,1892e-003	-5,0037e-002	1,5e-002	
50	2,1892e-003	-4,6572e-002	1,5e-002	
51	-1,8108e-003	-4,6572e-002	1,5e-002	
52	-3,8108e-003	-5,0037e-002	1,5e-002	
53	-1,8108e-003	-5,3501e-002	1,5e-002	
54	2,1892e-003	-5,3501e-002	1,5e-002	
55	-0,13101	8,499e-002	1,5e-002	
56	-0,13301	8,8454e-002	1,5e-002	
57	-0,13701	8,8454e-002	1,5e-002	
58	-0,13901	8,499e-002	1,5e-002	
59	-0,13701	8,1526e-002	1,5e-002	
60	-0,13301	8,1526e-002	1,5e-002	
61	-4,5811e-002	-9,2125e-004	1,5e-002	
62	-4,7811e-002	2,5429e-003	1,5e-002	
63	-5,1811e-002	2,5429e-003	1,5e-002	
64	-5,3811e-002	-9,2125e-004	1,5e-002	
65	-5,1811e-002	-4,3854e-003	1,5e-002	
66	-4,7811e-002	-4,3854e-003	1,5e-002	
67	0,13919	8,4963e-002	1,5e-002	
68	0,13719	8,8427e-002	1,5e-002	
69	0,13319	8,8427e-002	1,5e-002	
70	0,13119	8,4963e-002	1,5e-002	
71	0,13319	8,1499e-002	1,5e-002	
72	0,13719	8,1499e-002	1,5e-002	
73	5,4189e-002	-3,2248e-005	1,5e-002	
74	5,2189e-002	3,4319e-003	1,5e-002	
75	4,8189e-002	3,4319e-003	1,5e-002	
76	4,6189e-002	-3,2248e-005	1,5e-002	
77	4,8189e-002	-3,4963e-003	1,5e-002	
78	5,2189e-002	-3,4963e-003	1,5e-002	
79	0,13919	-8,5037e-002	1,5e-002	
80	0,13719	-8,1572e-002	1,5e-002	
81	0,13319	-8,1572e-002	1,5e-002	
82	0,13119	-8,5037e-002	1,5e-002	
83	0,13319	-8,8501e-002	1,5e-002	
84	0,13719	-8,8501e-002	1,5e-002	
85	4,1892e-003	4,9963e-002	1,5e-002	
86	2,1892e-003	5,3428e-002	1,5e-002	
87	-1,8108e-003	5,3428e-002	1,5e-002	
88	-3,8108e-003	4,9963e-002	1,5e-002	
89	-1,8108e-003	4,6499e-002	1,5e-002	
90	2,1892e-003	4,6499e-002	1,5e-002	
91	-0,13081	-8,5037e-002	1,5e-002	
92	-0,13281	-8,1572e-002	1,5e-002	
93	-0,13681	-8,1572e-002	1,5e-002	
94	-0,13881	-8,5037e-002	1,5e-002	
95	-0,13681	-8,8501e-002	1,5e-002	
96	-0,13281	-8,8501e-002	1,5e-002	
97	4,0189e-002	-3,658e-005	1,5e-002	
98	3,7488e-002	-1,4486e-002	1,5e-002	
99	2,975e-002	-2,6984e-002	1,5e-002	
100	1,8019e-002	-3,5843e-002	1,5e-002	
101	3,8799e-003	-3,9866e-002	1,5e-002	
102	-1,0757e-002	-3,851e-002	1,5e-002	
103	-2,3916e-002	-3,1957e-002	1,5e-002	
104	-3,3819e-002	-2,1094e-002	1,5e-002	
105	-3,913e-002	-7,3866e-003	1,5e-002	
106	-3,913e-002	7,3134e-003	1,5e-002	
107	-3,3819e-002	2,1021e-002	1,5e-002	
108	-2,3916e-002	3,1884e-002	1,5e-002	
109	-1,0757e-002	3,8436e-002	1,5e-002	
110	3,8799e-003	3,9793e-002	1,5e-002	
111	1,8019e-002	3,577e-002	1,5e-002	
112	2,975e-002	2,6911e-002	1,5e-002	
113	3,7488e-002	1,4413e-002	1,5e-002	
114	4,1892e-003	-5,0037e-002	0,	
115	2,1892e-003	-4,6572e-002	0,	
116	-1,8108e-003	-4,6572e-002	0,	
117	-3,8108e-003	-5,0037e-002	0,	
118	-1,8108e-003	-5,3501e-002	0,	
119	2,1892e-003	-5,3501e-002	0,	
120	-0,13101	8,499e-002	0,	
121	-0,13301	8,8454e-002	0,	
122	-0,13701	8,8454e-002	0,	
123	-0,13901	8,499e-002	0,	
124	-0,13701	8,1526e-002	0,	
125	-0,13301	8,1526e-002	0,	
126	-4,5811e-002	-9,2125e-004	0,	
127	-4,7811e-002	2,5429e-003	0,	
128	-5,1811e-002	2,5429e-003	0,	
129	-5,3811e-002	-9,2125e-004	0,	
130	-5,1811e-002	-4,3854e-003	0,	
131	-4,7811e-002	-4,3854e-003	0,	
132	0,13919	8,4963e-002	0,	
133	0,13719	8,8427e-002	0,	
134	0,13319	8,8427e-002	0,	
135	0,13119	8,4963e-002	0,	
136	0,13319	8,1499e-002	0,	
137	0,13719	8,1499e-002	0,	
138	5,4189e-002	-3,2248e-005	0,	
139	5,2189e-002	3,4319e-003	0,	
140	4,8189e-002	3,4319e-003	0,	
141	4,6189e-002	-3,2248e-005	0,	
142	4,8189e-002	-3,4963e-003	0,	
143	5,2189e-002	-3,4963e-003	0,	
144	0,13919	-8,5037e-002	0,	
145	0,13719	-8,1572e-002	0,	
146	0,13319	-8,1572e-002	0,	
147	0,13119	-8,5037e-002	0,	
148	0,13319	-8,8501e-002	0,	
149	0,13719	-8,8501e-002	0,	
150	4,1892e-003	4,9963e-002	0,	
151	2,1892e-003	5,3428e-002	0,	
152	-1,8108e-003	5,3428e-002	0,	
153	-3,8108e-003	4,9963e-002	0,	
154	-1,8108e-003	4,6499e-002	0,	
155	2,1892e-003	4,6499e-002	0,	
156	-0,13081	-8,5037e-002	0,	
157	-0,13281	-8,1572e-002	0,	
158	-0,13681	-8,1572e-002	0,	
159	-0,13881	-8,5037e-002	0,	
160	-0,13681	-8,8501e-002	0,	
161	-0,13281	-8,8501e-002	0,	
162	3,0189e-002	-3,658e-005	0,	
163	1,5189e-002	2,5944e-002	0,	
164	-1,4811e-002	2,5944e-002	0,	
165	-2,9811e-002	-3,658e-005	0,	
166	-1,4811e-002	-2,6017e-002	0,	
167	1,5189e-002	-2,6017e-002	0,	
168	3,0189e-002	-3,658e-005	2,e-002	
169	1,8894e-002	2,3418e-002	2,e-002	
170	-6,4864e-003	2,9211e-002	2,e-002	
171	-2,684e-002	1,298e-002	2,e-002	
172	-2,684e-002	-1,3053e-002	2,e-002	
173	-6,4864e-003	-2,9284e-002	2,e-002	
174	1,8894e-002	-2,3492e-002	2,e-002	
175	4,0189e-002	-3,658e-005	2,e-002	
176	3,7488e-002	1,4413e-002	2,e-002	
177	2,975e-002	2,6911e-002	2,e-002	
178	1,8019e-002	3,577e-002	2,e-002	
179	3,8799e-003	3,9793e-002	2,e-002	
180	-1,0757e-002	3,8436e-002	2,e-002	
181	-2,3916e-002	3,1884e-002	2,e-002	
182	-3,3819e-002	2,1021e-002	2,e-002	
183	-3,913e-002	7,3134e-003	2,e-002	
184	-3,913e-002	-7,3866e-003	2,e-002	
185	-3,3819e-002	-2,1094e-002	2,e-002	
186	-2,3916e-002	-3,1957e-002	2,e-002	
187	-1,0757e-002	-3,851e-002	2,e-002	
188	3,8799e-003	-3,9866e-002	2,e-002	
189	1,8019e-002	-3,5843e-002	2,e-002	
190	2,975e-002	-2,6984e-002	2,e-002	
191	3,7488e-002	-1,4486e-002	2,e-002	
192	-0,15001	7,999e-002	0,	
193	-0,15001	3,999e-002	0,	
194	-0,15001	-9,755e-006	0,	
195	-0,15001	-4,001e-002	0,	
196	-0,15001	-8,001e-002	0,	
197	-0,15001	7,999e-002	1,5e-002	
198	-0,15001	3,999e-002	1,5e-002	
199	-0,15001	-9,755e-006	1,5e-002	
200	-0,15001	-4,001e-002	1,5e-002	
201	-0,15001	-8,001e-002	1,5e-002	
202	-0,12858	-0,10001	0,	
203	-8,5721e-002	-0,10001	0,	
204	-4,2864e-002	-0,10001	0,	
205	-6,4285e-006	-0,10001	0,	
206	4,2851e-002	-0,10001	0,	
207	8,5708e-002	-0,10001	0,	
208	0,12857	-0,10001	0,	
209	-0,12858	-0,10001	1,5e-002	
210	-8,5721e-002	-0,10001	1,5e-002	
211	-4,2864e-002	-0,10001	1,5e-002	
