Node Number	X Location (m)	Y Location (m)	Z Location (m)	
141	0,263	0,18	0,	
142	0,2615	0,1826	0,	
143	0,2585	0,1826	0,	
144	0,257	0,18	0,	
145	0,2585	0,1774	0,	
146	0,2615	0,1774	0,	
147	0,283	4,e-002	0,	
148	0,2815	4,2598e-002	0,	
149	0,2785	4,2598e-002	0,	
150	0,277	4,e-002	0,	
151	0,2785	3,7402e-002	0,	
152	0,2815	3,7402e-002	0,	
153	2,3e-002	4,e-002	0,	
154	2,15e-002	4,2598e-002	0,	
155	1,85e-002	4,2598e-002	0,	
156	1,7e-002	4,e-002	0,	
157	1,85e-002	3,7402e-002	0,	
158	2,15e-002	3,7402e-002	0,	
159	2,3e-002	2,e-002	0,	
160	2,15e-002	2,2598e-002	0,	
161	1,85e-002	2,2598e-002	0,	
162	1,7e-002	2,e-002	0,	
163	1,85e-002	1,7402e-002	0,	
164	2,15e-002	1,7402e-002	0,	
165	0,283	0,18	0,	
166	0,2815	0,1826	0,	
167	0,2785	0,1826	0,	
168	0,277	0,18	0,	
169	0,2785	0,1774	0,	
170	0,2815	0,1774	0,	
171	4,3e-002	2,e-002	0,	
172	4,15e-002	2,2598e-002	0,	
173	3,85e-002	2,2598e-002	0,	
174	3,7e-002	2,e-002	0,	
175	3,85e-002	1,7402e-002	0,	
176	4,15e-002	1,7402e-002	0,	
177	0,263	2,e-002	0,	
178	0,2615	2,2598e-002	0,	
179	0,2585	2,2598e-002	0,	
181	0,2585	1,7402e-002	0,	
182	0,2615	1,7402e-002	0,	
183	4,3e-002	4,e-002	0,	
184	4,15e-002	4,2598e-002	0,	
185	3,85e-002	4,2598e-002	0,	
186	3,7e-002	4,e-002	0,	
187	3,85e-002	3,7402e-002	0,	
188	4,15e-002	3,7402e-002	0,	
189	0,263	0,16	0,	
190	0,2615	0,1626	0,	
191	0,2585	0,1626	0,	
192	0,257	0,16	0,	
193	0,2585	0,1574	0,	
194	0,2615	0,1574	0,	
195	2,3e-002	0,18	0,	
196	2,15e-002	0,1826	0,	
197	1,85e-002	0,1826	0,	
198	1,7e-002	0,18	0,	
199	1,85e-002	0,1774	0,	
201	0,263	4,e-002	0,	
202	0,2615	4,2598e-002	0,	
204	0,257	4,e-002	0,	
205	0,2585	3,7402e-002	0,	
206	0,2615	3,7402e-002	0,	
207	2,3e-002	0,16	0,	
208	2,15e-002	0,1626	0,	
209	1,85e-002	0,1626	0,	
210	1,7e-002	0,16	0,	
211	1,85e-002	0,1574	0,	
213	0,283	0,16	0,	
214	0,2815	0,1626	0,	
215	0,2785	0,1626	0,	
216	0,277	0,16	0,	
217	0,2785	0,1574	0,	
218	0,2815	0,1574	0,	
219	4,3e-002	0,16	0,	
220	4,15e-002	0,1626	0,	
221	3,85e-002	0,1626	0,	
222	3,7e-002	0,16	0,	
223	3,85e-002	0,1574	0,	
224	4,15e-002	0,1574	0,	
225	0,283	2,e-002	0,	
226	0,2815	2,2598e-002	0,	
227	0,2785	2,2598e-002	0,	
228	0,277	2,e-002	0,	
229	0,2785	1,7402e-002	0,	
230	0,2815	1,7402e-002	0,	
231	4,3e-002	0,18	0,	
232	4,15e-002	0,1826	0,	
233	3,85e-002	0,1826	0,	
234	3,7e-002	0,18	0,	
235	3,85e-002	0,1774	0,	
236	4,15e-002	0,1774	0,	
920	0,257	2,0098e-002	6,1054e-003	
935	2,0971e-002	0,17716	7,5122e-003	
941	0,2584	4,2537e-002	5,3118e-003	
945	2,0971e-002	0,15716	7,5122e-003	
