Node Number	X Location (m)	Y Location (m)	Z Location (m)	
13	0,	0,	0,165	
22	0,	0,2	0,165	
23	0,	0,18182	0,165	
24	0,	0,16364	0,165	
25	0,	0,14545	0,165	
26	0,	0,12727	0,165	
27	0,	0,10909	0,165	
28	0,	9,0909e-002	0,165	
29	0,	7,2727e-002	0,165	
30	0,	5,4545e-002	0,165	
31	0,	3,6364e-002	0,165	
32	0,	1,8182e-002	0,165	
57	0,3	0,	0,165	
66	1,875e-002	0,	0,165	
67	3,75e-002	0,	0,165	
68	5,625e-002	0,	0,165	
69	7,5e-002	0,	0,165	
70	9,375e-002	0,	0,165	
71	0,1125	0,	0,165	
72	0,13125	0,	0,165	
73	0,15	0,	0,165	
74	0,16875	0,	0,165	
75	0,1875	0,	0,165	
76	0,20625	0,	0,165	
77	0,225	0,	0,165	
78	0,24375	0,	0,165	
79	0,2625	0,	0,165	
80	0,28125	0,	0,165	
92	0,3	0,2	0,165	
101	0,3	1,8182e-002	0,165	
102	0,3	3,6364e-002	0,165	
103	0,3	5,4545e-002	0,165	
104	0,3	7,2727e-002	0,165	
105	0,3	9,0909e-002	0,165	
106	0,3	0,10909	0,165	
107	0,3	0,12727	0,165	
108	0,3	0,14545	0,165	
109	0,3	0,16364	0,165	
110	0,3	0,18182	0,165	
126	0,28125	0,2	0,165	
127	0,2625	0,2	0,165	
128	0,24375	0,2	0,165	
129	0,225	0,2	0,165	
130	0,20625	0,2	0,165	
131	0,1875	0,2	0,165	
132	0,16875	0,2	0,165	
133	0,15	0,2	0,165	
134	0,13125	0,2	0,165	
135	0,1125	0,2	0,165	
136	9,375e-002	0,2	0,165	
137	7,5e-002	0,2	0,165	
138	5,625e-002	0,2	0,165	
139	3,75e-002	0,2	0,165	
140	1,875e-002	0,2	0,165	
237	1,e-002	1,e-002	0,165	
256	1,e-002	0,19	0,165	
264	1,e-002	0,172	0,165	
265	1,e-002	0,154	0,165	
266	1,e-002	0,136	0,165	
267	1,e-002	0,118	0,165	
268	1,e-002	0,1	0,165	
269	1,e-002	8,2e-002	0,165	
270	1,e-002	6,4e-002	0,165	
271	1,e-002	4,6e-002	0,165	
272	1,e-002	2,8e-002	0,165	
288	0,29	0,19	0,165	
296	0,27133	0,19	0,165	
297	0,25267	0,19	0,165	
298	0,234	0,19	0,165	
299	0,21533	0,19	0,165	
300	0,19667	0,19	0,165	
301	0,178	0,19	0,165	
302	0,15933	0,19	0,165	
303	0,14067	0,19	0,165	
304	0,122	0,19	0,165	
305	0,10333	0,19	0,165	
306	8,4667e-002	0,19	0,165	
307	6,6e-002	0,19	0,165	
308	4,7333e-002	0,19	0,165	
309	2,8667e-002	0,19	0,165	
320	0,29	1,e-002	0,165	
328	0,29	2,8e-002	0,165	
329	0,29	4,6e-002	0,165	
330	0,29	6,4e-002	0,165	
331	0,29	8,2e-002	0,165	
332	0,29	0,1	0,165	
333	0,29	0,118	0,165	
334	0,29	0,136	0,165	
335	0,29	0,154	0,165	
336	0,29	0,172	0,165	
351	2,8667e-002	1,e-002	0,165	
352	4,7333e-002	1,e-002	0,165	
353	6,6e-002	1,e-002	0,165	
354	8,4667e-002	1,e-002	0,165	
355	0,10333	1,e-002	0,165	
356	0,122	1,e-002	0,165	
357	0,14067	1,e-002	0,165	
358	0,15933	1,e-002	0,165	
359	0,178	1,e-002	0,165	
360	0,19667	1,e-002	0,165	
361	0,21533	1,e-002	0,165	
362	0,234	1,e-002	0,165	
363	0,25267	1,e-002	0,165	
364	0,27133	1,e-002	0,165	
