Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	0,	0,2	0,	
2	0,	0,	0,	
3	0,	0,18182	0,	
4	0,	0,16364	0,	
5	0,	0,14545	0,	
6	0,	0,12727	0,	
7	0,	0,10909	0,	
8	0,	9,0909e-002	0,	
9	0,	7,2727e-002	0,	
10	0,	5,4545e-002	0,	
11	0,	3,6364e-002	0,	
12	0,	1,8182e-002	0,	
13	0,	0,	0,165	
14	0,	0,	0,14667	
15	0,	0,	0,12833	
16	0,	0,	0,11	
17	0,	0,	9,1667e-002	
18	0,	0,	7,3333e-002	
19	0,	0,	5,5e-002	
20	0,	0,	3,6667e-002	
21	0,	0,	1,8333e-002	
22	0,	0,2	0,165	
23	0,	0,18182	0,165	
24	0,	0,16364	0,165	
25	0,	0,14545	0,165	
26	0,	0,12727	0,165	
27	0,	0,10909	0,165	
28	0,	9,0909e-002	0,165	
29	0,	7,2727e-002	0,165	
30	0,	5,4545e-002	0,165	
31	0,	3,6364e-002	0,165	
32	0,	1,8182e-002	0,165	
33	0,	0,2	0,14667	
34	0,	0,2	0,12833	
35	0,	0,2	0,11	
36	0,	0,2	9,1667e-002	
37	0,	0,2	7,3333e-002	
38	0,	0,2	5,5e-002	
39	0,	0,2	3,6667e-002	
40	0,	0,2	1,8333e-002	
41	0,3	0,	0,	
42	1,875e-002	0,	0,	
43	3,75e-002	0,	0,	
44	5,625e-002	0,	0,	
45	7,5e-002	0,	0,	
46	9,375e-002	0,	0,	
47	0,1125	0,	0,	
48	0,13125	0,	0,	
49	0,15	0,	0,	
50	0,16875	0,	0,	
51	0,1875	0,	0,	
52	0,20625	0,	0,	
53	0,225	0,	0,	
54	0,24375	0,	0,	
55	0,2625	0,	0,	
56	0,28125	0,	0,	
57	0,3	0,	0,165	
58	0,3	0,	0,14667	
59	0,3	0,	0,12833	
60	0,3	0,	0,11	
61	0,3	0,	9,1667e-002	
62	0,3	0,	7,3333e-002	
63	0,3	0,	5,5e-002	
64	0,3	0,	3,6667e-002	
65	0,3	0,	1,8333e-002	
66	1,875e-002	0,	0,165	
67	3,75e-002	0,	0,165	
68	5,625e-002	0,	0,165	
69	7,5e-002	0,	0,165	
70	9,375e-002	0,	0,165	
