Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
1	4,e-002	-2,2662e-017	1,e-002	2,7182e-006
2	3,9126e-002	8,3165e-003	1,e-002	2,8416e-006
3	3,6542e-002	1,6269e-002	1,e-002	2,9866e-006
4	3,2361e-002	2,3511e-002	1,e-002	3,1925e-006
5	2,6765e-002	2,9726e-002	1,e-002	3,1743e-006
6	2,e-002	3,4641e-002	1,e-002	2,9812e-006
7	1,2361e-002	3,8042e-002	1,e-002	2,7618e-006
8	4,1811e-003	3,9781e-002	1,e-002	2,5998e-006
9	-4,1811e-003	3,9781e-002	1,e-002	2,6902e-006
10	-1,2361e-002	3,8042e-002	1,e-002	2,8648e-006
11	-2,e-002	3,4641e-002	1,e-002	3,144e-006
12	-2,6765e-002	2,9726e-002	1,e-002	3,2893e-006
13	-3,2361e-002	2,3511e-002	1,e-002	3,1955e-006
14	-3,6542e-002	1,6269e-002	1,e-002	3,1048e-006
15	-3,9126e-002	8,3165e-003	1,e-002	2,9872e-006
16	-4,e-002	2,4286e-017	1,e-002	2,9928e-006
17	-3,9126e-002	-8,3165e-003	1,e-002	2,9709e-006
18	-3,6542e-002	-1,6269e-002	1,e-002	3,1141e-006
19	-3,2361e-002	-2,3511e-002	1,e-002	3,2098e-006
20	-2,6765e-002	-2,9726e-002	1,e-002	3,138e-006
21	-2,e-002	-3,4641e-002	1,e-002	3,1019e-006
22	-1,2361e-002	-3,8042e-002	1,e-002	2,7745e-006
23	-4,1811e-003	-3,9781e-002	1,e-002	2,7147e-006
24	4,1811e-003	-3,9781e-002	1,e-002	2,6843e-006
25	1,2361e-002	-3,8042e-002	1,e-002	2,8484e-006
26	2,e-002	-3,4641e-002	1,e-002	3,1071e-006
27	2,6765e-002	-2,9726e-002	1,e-002	3,1355e-006
28	3,2361e-002	-2,3511e-002	1,e-002	3,1808e-006
29	3,6542e-002	-1,6269e-002	1,e-002	2,9532e-006
30	3,9126e-002	-8,3165e-003	1,e-002	2,8549e-006
31	4,e-002	-2,2662e-017	2,e-002	3,6509e-006
32	3,9126e-002	8,3165e-003	2,e-002	3,6027e-006
33	3,6542e-002	1,6269e-002	2,e-002	3,5273e-006
