Node Number	X Location (m)	Y Location (m)	Z Location (m)	
175	3,e-003	-5,e-002	0,	
176	1,5e-003	-4,7402e-002	0,	
177	-1,5e-003	-4,7402e-002	0,	
178	-3,e-003	-5,e-002	0,	
179	-1,5e-003	-5,2598e-002	0,	
180	1,5e-003	-5,2598e-002	0,	
181	3,e-003	5,e-002	0,	
182	1,5e-003	5,2598e-002	0,	
183	-1,5e-003	5,2598e-002	0,	
184	-3,e-003	5,e-002	0,	
185	-1,5e-003	4,7402e-002	0,	
186	1,5e-003	4,7402e-002	0,	
187	-4,8733e-002	3,6739e-019	0,	
188	-5,0233e-002	2,5981e-003	0,	
189	-5,3233e-002	2,5981e-003	0,	
190	-5,4733e-002	8,6736e-019	0,	
191	-5,3233e-002	-2,5981e-003	0,	
192	-5,0233e-002	-2,5981e-003	0,	
193	5,4733e-002	3,6739e-019	0,	
194	5,3233e-002	2,5981e-003	0,	
195	5,0233e-002	2,5981e-003	0,	
196	4,8733e-002	8,6736e-019	0,	
197	5,0233e-002	-2,5981e-003	0,	
198	5,3233e-002	-2,5981e-003	0,	
