Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	4,e-002	-2,2662e-017	1,e-002	
2	3,9126e-002	8,3165e-003	1,e-002	
3	3,6542e-002	1,6269e-002	1,e-002	
4	3,2361e-002	2,3511e-002	1,e-002	
5	2,6765e-002	2,9726e-002	1,e-002	
6	2,e-002	3,4641e-002	1,e-002	
7	1,2361e-002	3,8042e-002	1,e-002	
8	4,1811e-003	3,9781e-002	1,e-002	
9	-4,1811e-003	3,9781e-002	1,e-002	
10	-1,2361e-002	3,8042e-002	1,e-002	
11	-2,e-002	3,4641e-002	1,e-002	
12	-2,6765e-002	2,9726e-002	1,e-002	
13	-3,2361e-002	2,3511e-002	1,e-002	
14	-3,6542e-002	1,6269e-002	1,e-002	
15	-3,9126e-002	8,3165e-003	1,e-002	
16	-4,e-002	2,4286e-017	1,e-002	
17	-3,9126e-002	-8,3165e-003	1,e-002	
18	-3,6542e-002	-1,6269e-002	1,e-002	
19	-3,2361e-002	-2,3511e-002	1,e-002	
20	-2,6765e-002	-2,9726e-002	1,e-002	
21	-2,e-002	-3,4641e-002	1,e-002	
22	-1,2361e-002	-3,8042e-002	1,e-002	
23	-4,1811e-003	-3,9781e-002	1,e-002	
24	4,1811e-003	-3,9781e-002	1,e-002	
25	1,2361e-002	-3,8042e-002	1,e-002	
26	2,e-002	-3,4641e-002	1,e-002	
27	2,6765e-002	-2,9726e-002	1,e-002	
28	3,2361e-002	-2,3511e-002	1,e-002	
29	3,6542e-002	-1,6269e-002	1,e-002	
30	3,9126e-002	-8,3165e-003	1,e-002	
222	3,e-002	3,6739e-018	1,e-002	
223	2,8888e-002	8,0939e-003	1,e-002	
224	2,5633e-002	1,5588e-002	1,e-002	
225	2,0477e-002	2,1925e-002	1,e-002	
226	1,3802e-002	2,6637e-002	1,e-002	
227	6,1037e-003	2,9373e-002	1,e-002	
228	-2,0473e-003	2,993e-002	1,e-002	
229	-1,0046e-002	2,8268e-002	1,e-002	
230	-1,73e-002	2,4509e-002	1,e-002	
231	-2,3271e-002	1,8933e-002	1,e-002	
232	-2,7516e-002	1,1952e-002	1,e-002	
233	-2,9721e-002	4,085e-003	1,e-002	
234	-2,9721e-002	-4,085e-003	1,e-002	
235	-2,7516e-002	-1,1952e-002	1,e-002	
236	-2,3271e-002	-1,8933e-002	1,e-002	
237	-1,73e-002	-2,4509e-002	1,e-002	
238	-1,0046e-002	-2,8268e-002	1,e-002	
239	-2,0473e-003	-2,993e-002	1,e-002	
240	6,1037e-003	-2,9373e-002	1,e-002	
241	1,3802e-002	-2,6637e-002	1,e-002	
242	2,0477e-002	-2,1925e-002	1,e-002	
243	2,5633e-002	-1,5588e-002	1,e-002	
244	2,8888e-002	-8,0939e-003	1,e-002	
