NodeId	Type	X	Y	Z
1	Force	0	0	    -500
2	Force	0	0	    -500
3	Force	0	0	    -500
4	Force	0	0	    -500
5	Force	0	0	    -500
6	Force	0	0	    -500
7	Force	0	0	    -500
8	Force	0	0	    -500
9	Force	0	0	    -500
10	Force	0	0	    -500
11	Force	0	0	    -500
12	Force	0	0	    -500
13	Force	0	0	    -500
14	Force	0	0	    -500
15	Force	0	0	    -500
16	Force	0	0	    -500
17	Force	0	0	    -500
18	Force	0	0	    -500
19	Force	0	0	    -500
20	Force	0	0	    -500
21	Force	0	0	    -500
22	Force	0	0	    -500
23	Force	0	0	    -500
24	Force	0	0	    -500
25	Force	0	0	    -500
26	Force	0	0	    -500
27	Force	0	0	    -500
28	Force	0	0	    -500
29	Force	0	0	    -500
30	Force	0	0	    -500
222	Force	0	0	    -500
223	Force	0	0	    -500
224	Force	0	0	    -500
225	Force	0	0	    -500
226	Force	0	0	    -500
227	Force	0	0	    -500
228	Force	0	0	    -500
229	Force	0	0	    -500
230	Force	0	0	    -500
231	Force	0	0	    -500
232	Force	0	0	    -500
233	Force	0	0	    -500
234	Force	0	0	    -500
235	Force	0	0	    -500
236	Force	0	0	    -500
237	Force	0	0	    -500
238	Force	0	0	    -500
239	Force	0	0	    -500
240	Force	0	0	    -500
241	Force	0	0	    -500
242	Force	0	0	    -500
243	Force	0	0	    -500
244	Force	0	0	    -500
175	Fixed	0	0	0
176	Fixed	0	0	0
177	Fixed	0	0	0
178	Fixed	0	0	0
179	Fixed	0	0	0
180	Fixed	0	0	0
181	Fixed	0	0	0
182	Fixed	0	0	0
183	Fixed	0	0	0
184	Fixed	0	0	0
185	Fixed	0	0	0
186	Fixed	0	0	0
187	Fixed	0	0	0
188	Fixed	0	0	0
189	Fixed	0	0	0
190	Fixed	0	0	0
191	Fixed	0	0	0
192	Fixed	0	0	0
193	Fixed	0	0	0
194	Fixed	0	0	0
195	Fixed	0	0	0
196	Fixed	0	0	0
197	Fixed	0	0	0
198	Fixed	0	0	0
