Element Number	Equivalent Elastic Strain (m/m)
1	2,5922e-005
2	2,6388e-005
3	3,1969e-005
4	2,7772e-005
5	2,6647e-005
6	2,8559e-005
7	3,5409e-005
8	3,6293e-005
9	3,1127e-005
10	3,7035e-005
11	3,2279e-005
12	2,7847e-005
13	2,7373e-005
14	2,3281e-005
15	6,6896e-005
16	5,1224e-005
17	5,8502e-005
18	4,4614e-005
19	4,5041e-005
20	3,0814e-005
21	2,5314e-005
22	6,13e-005
23	5,1641e-005
24	4,2103e-005
25	3,3874e-005
26	2,9608e-005
27	3,9059e-005
28	4,6437e-005
29	5,0448e-005
30	4,6293e-005
31	5,2228e-005
32	5,458e-005
33	3,8331e-005
34	4,266e-005
35	4,3341e-005
36	5,0186e-005
37	5,4447e-005
38	7,3597e-005
39	5,3695e-005
40	5,216e-005
41	3,788e-005
42	5,4757e-005
43	5,4571e-005
44	5,093e-005
45	5,9855e-005
46	5,6455e-005
47	7,3091e-005
48	4,9352e-005
49	5,2171e-005
50	4,0766e-005
51	8,3851e-005
52	4,9569e-005
53	6,2244e-005
54	4,9404e-005
55	4,6431e-005
56	1,9792e-005
57	1,7644e-005
58	3,4021e-005
59	3,7779e-005
60	1,3058e-005
61	3,373e-005
62	5,5089e-005
63	9,5011e-005
64	3,5916e-005
65	3,7411e-005
66	5,0302e-005
67	6,8585e-005
68	3,8627e-005
69	1,9147e-005
70	1,8466e-005
71	2,4357e-005
72	4,0435e-005
73	4,1324e-005
74	5,0446e-005
75	5,3011e-005
76	5,1731e-005
77	5,1402e-005
78	5,0795e-005
79	3,5569e-005
80	4,5789e-005
81	3,7646e-005
82	3,8961e-005
83	4,5515e-005
84	4,0795e-005
85	3,7403e-005
86	4,8111e-005
87	3,1155e-005
88	3,9951e-005
89	3,69e-005
90	3,5057e-005
91	3,4259e-005
92	2,1999e-005
93	2,8558e-005
94	4,0156e-005
95	3,42e-005
96	5,4307e-005
97	4,2814e-005
98	3,5604e-005
99	4,0888e-005
100	4,7152e-005
101	7,343e-005
102	6,0924e-005
103	5,3869e-005
104	6,1285e-005
105	3,0846e-005
106	2,3635e-005
107	4,3489e-005
108	3,6979e-005
109	2,214e-005
110	4,0811e-005
111	4,4047e-005
112	2,5974e-005
113	4,6726e-005
114	4,5457e-005
115	4,8983e-005
116	9,85e-005
117	2,9894e-005
118	6,7604e-005
119	3,3267e-005
120	4,82e-005
121	2,5707e-005
122	5,614e-005
123	5,2747e-005
124	6,1465e-005
125	6,2895e-005
126	7,0827e-005
127	4,8112e-005
128	4,2277e-005
129	5,3354e-005
130	5,4489e-005
131	5,0918e-005
132	4,9182e-005
133	3,6907e-005
134	1,6212e-004
135	7,2246e-005
136	4,5845e-005
137	2,094e-004
138	3,9765e-005
139	4,3483e-005
140	1,782e-004
141	4,1451e-005
142	5,1702e-005
143	1,5161e-004
144	3,3721e-005
145	3,8246e-005
146	3,5021e-005
147	3,5126e-005
148	2,7685e-005
149	2,5636e-005
150	4,082e-005
151	2,9295e-005
152	2,1512e-005
153	3,3981e-005
154	2,0767e-005
155	2,8412e-005
156	8,8171e-005
157	7,0546e-005
158	4,8444e-005
159	4,1153e-005
160	2,5795e-005
161	6,6107e-005
162	2,7752e-005
163	4,4091e-005
164	5,1506e-005
165	4,3569e-005
166	4,3034e-005
167	3,544e-005
168	3,8681e-005
169	2,8864e-005
170	3,6098e-005
171	4,5097e-005
172	4,5091e-005
173	4,6043e-005
174	3,7771e-005
