Element Number	Equivalent (von-Mises) Stress (Pa)
1	5,1845e+006
2	5,2777e+006
3	6,3939e+006
4	5,5544e+006
5	5,3294e+006
6	5,7118e+006
7	7,0817e+006
8	7,2586e+006
9	6,2254e+006
10	7,407e+006
11	6,4559e+006
12	5,5695e+006
13	5,4746e+006
14	4,6561e+006
15	1,3379e+007
16	1,0245e+007
17	1,17e+007
18	8,9228e+006
19	9,0081e+006
20	6,1628e+006
21	5,0627e+006
22	1,226e+007
23	1,0328e+007
24	8,4206e+006
25	6,7749e+006
26	5,9215e+006
27	7,8119e+006
28	9,2873e+006
29	1,009e+007
30	9,2586e+006
31	1,0446e+007
32	1,0916e+007
33	7,6661e+006
34	8,5321e+006
35	8,6683e+006
36	1,0037e+007
37	1,0889e+007
38	1,4719e+007
39	1,0739e+007
40	1,0432e+007
41	7,5759e+006
42	1,0951e+007
43	1,0914e+007
44	1,0186e+007
45	1,1971e+007
46	1,1291e+007
47	1,4618e+007
48	9,8703e+006
49	1,0434e+007
50	8,1531e+006
51	1,677e+007
52	9,9138e+006
53	1,2449e+007
54	9,8808e+006
55	9,2863e+006
56	3,9584e+006
57	3,5288e+006
58	6,8042e+006
59	7,5557e+006
60	2,6115e+006
61	6,7459e+006
62	1,1018e+007
63	1,9002e+007
64	7,1832e+006
65	7,4823e+006
66	1,006e+007
67	1,3717e+007
68	7,7254e+006
69	3,8295e+006
70	3,6931e+006
71	4,8714e+006
72	8,0869e+006
73	8,2647e+006
74	1,0089e+007
75	1,0602e+007
76	1,0346e+007
77	1,028e+007
78	1,0159e+007
79	7,1139e+006
80	9,1578e+006
81	7,5292e+006
82	7,7921e+006
83	9,103e+006
84	8,1591e+006
85	7,4806e+006
86	9,6222e+006
87	6,231e+006
88	7,9902e+006
89	7,3799e+006
90	7,0115e+006
91	6,8518e+006
92	4,3998e+006
93	5,7116e+006
94	8,0311e+006
95	6,84e+006
96	1,0861e+007
97	8,5627e+006
98	7,1208e+006
99	8,1775e+006
100	9,4303e+006
101	1,4686e+007
102	1,2185e+007
103	1,0774e+007
104	1,2257e+007
105	6,1692e+006
106	4,7269e+006
107	8,6977e+006
108	7,3958e+006
109	4,428e+006
110	8,1621e+006
111	8,8093e+006
112	5,1948e+006
113	9,3453e+006
114	9,0915e+006
115	9,7965e+006
116	1,97e+007
117	5,9788e+006
118	1,3521e+007
119	6,6534e+006
120	9,6399e+006
121	5,1415e+006
122	1,1228e+007
123	1,0549e+007
124	1,2293e+007
125	1,2579e+007
126	1,4165e+007
127	9,6224e+006
128	8,4554e+006
129	1,0671e+007
130	1,0898e+007
131	1,0184e+007
132	9,8364e+006
133	7,3813e+006
134	3,2423e+007
135	1,4449e+007
136	9,169e+006
137	4,1879e+007
138	7,953e+006
139	8,6965e+006
140	3,564e+007
141	8,2902e+006
142	1,034e+007
143	3,0321e+007
144	6,7442e+006
145	7,6492e+006
146	7,0042e+006
147	7,0252e+006
148	5,537e+006
149	5,1271e+006
150	8,1639e+006
151	5,859e+006
152	4,3025e+006
153	6,7962e+006
154	4,1534e+006
155	5,6824e+006
156	1,7634e+007
157	1,4109e+007
158	9,6888e+006
159	8,2305e+006
160	5,1589e+006
161	1,3221e+007
162	5,5503e+006
163	8,8182e+006
164	1,0301e+007
165	8,7138e+006
166	8,6069e+006
167	7,0881e+006
168	7,7363e+006
169	5,7727e+006
170	7,2196e+006
171	9,0193e+006
172	9,0182e+006
173	9,2086e+006
174	7,5543e+006
175	6,162e+006
176	9,4304e+006
177	1,1562e+007
178	1,0812e+007
179	7,3191e+006
180	4,1954e+006
181	5,0921e+006
182	4,1366e+006
183	5,4549e+006
184	4,6236e+006
185	1,2254e+007
186	1,25e+007
187	4,8966e+006
188	4,8999e+006
189	9,1837e+006
190	1,1366e+007
191	6,8306e+006
192	4,8601e+006
193	1,0049e+007
194	7,8338e+006
195	1,1182e+007
196	8,1659e+006
197	9,4112e+006
198	1,189e+007
199	7,4466e+006
200	6,6041e+006
201	6,4045e+006
202	8,3605e+006
203	1,0381e+007
204	6,8965e+006
205	9,369e+006
206	1,0416e+007
207	1,1607e+007
208	1,2848e+007
209	7,5044e+006
210	7,9595e+006
211	5,3775e+006
212	1,1125e+007
213	8,5951e+006
214	4,3157e+006
215	1,3951e+007
216	3,4888e+007
217	1,6436e+007
218	6,7199e+006
219	1,1489e+007
220	1,0223e+007
221	1,1281e+007
222	5,9776e+006
223	1,7917e+007
224	6,9112e+006
225	9,5232e+006
226	4,851e+006
227	6,9052e+006
228	1,24e+007
229	2,4866e+007
230	1,0594e+007
231	1,1117e+007
232	7,7641e+006
233	8,532e+006
234	1,1645e+007
235	8,2375e+006
236	1,294e+007
237	4,906e+006
238	1,3875e+007
239	1,5363e+007
240	1,1059e+007
241	7,7268e+006
242	8,9294e+006
243	8,2657e+006
244	7,0897e+006
245	1,3787e+007
246	8,6006e+006
247	4,6967e+006
248	7,4053e+006
249	4,767e+006
250	1,4544e+007
251	7,419e+006
252	1,1994e+007
253	1,9545e+007
254	6,6699e+006
255	1,1083e+007
256	1,4335e+007
257	6,6749e+006
258	3,373e+007
259	1,1224e+007
260	9,3551e+006
261	9,9706e+006
262	1,2118e+007
263	7,5271e+006
264	9,6666e+006
265	1,3778e+007
266	4,1589e+006
267	1,2401e+007
268	5,5796e+006
269	5,8984e+006
270	4,6834e+006
271	1,1184e+007
272	9,3977e+006
273	1,006e+007
274	4,7672e+006
275	7,6082e+006
276	4,9937e+006
277	5,5647e+006
278	1,3925e+007
279	4,8859e+006
280	1,1406e+007
281	1,1054e+007
282	9,1605e+006
283	7,6165e+006
284	1,0618e+007
285	1,1409e+007
286	4,1803e+006
287	6,1182e+006
288	1,3806e+007
289	5,8865e+006
290	9,068e+006
291	1,4406e+007
292	7,7888e+006
293	1,1719e+007
294	3,0705e+007
295	1,2487e+007
296	8,7102e+006
297	9,9145e+006
298	5,5222e+006
299	1,4523e+007
300	8,0126e+006
301	1,1806e+007
302	1,169e+007
303	4,9689e+006
304	1,329e+007
305	2,4438e+007
306	1,3433e+007
307	4,1923e+006
308	1,0726e+007
309	3,8383e+007
310	3,581e+007
311	4,4164e+006
312	8,089e+006
313	4,5213e+006
314	1,0044e+007
315	5,8553e+006
316	8,9784e+006
317	1,1328e+007
318	1,0741e+007
319	1,6362e+007
320	1,2228e+007
321	1,2414e+007
322	7,6331e+006
323	1,3434e+007
324	8,2706e+006
325	3,0234e+007
326	8,2737e+006
327	6,5689e+006
328	1,176e+007
329	8,3531e+006
330	6,49e+006
331	8,1409e+006
332	1,0382e+007
333	9,5951e+006
334	6,2829e+006
335	7,9142e+006
336	7,3597e+006
337	1,0362e+007
338	8,7123e+006
339	8,0108e+006
340	8,8709e+006
341	6,5153e+006
342	7,7207e+006
343	5,4127e+006
344	5,3505e+006
345	1,1273e+007
346	9,613e+006
347	1,1945e+007
348	7,0673e+006
349	1,262e+007
350	1,5215e+007
351	5,0407e+006
352	2,6045e+006
353	5,2851e+006
354	1,1625e+007
355	6,2744e+006
356	9,1844e+006
357	6,1013e+006
358	7,9251e+006
359	8,6218e+006
360	7,7066e+006
361	6,8753e+006
362	7,0955e+006
363	6,2437e+006
364	8,8473e+006
365	4,5577e+006
366	8,5979e+006
367	7,5124e+006
368	9,0708e+006
369	1,3018e+007
370	1,0655e+007
371	7,6352e+006
372	1,0891e+007
373	7,4653e+006
374	1,1491e+007
375	1,0128e+007
376	9,5548e+006
377	9,2748e+006
378	1,4067e+007
379	1,0265e+007
380	1,1713e+007
381	6,7815e+006
382	6,2378e+006
383	5,3496e+006
384	1,0937e+007
385	9,5601e+006
386	1,1701e+007
387	1,4017e+007
388	1,359e+007
389	2,0909e+007
390	1,2416e+007
391	9,5374e+006
392	7,2424e+006
393	5,1319e+006
394	9,5635e+006
395	9,9024e+006
396	1,3269e+007
397	9,7791e+006
398	1,2665e+007
399	9,8032e+006
400	7,1742e+006
401	1,5984e+007
402	5,4031e+006
