Node Number	X Location (m)	Y Location (m)	Z Location (m)	
106	6,e-002	7,3479e-018	0,	
107	5,9416e-002	8,3504e-003	0,	
108	5,7676e-002	1,6538e-002	0,	
109	5,4813e-002	2,4404e-002	0,	
110	5,0883e-002	3,1795e-002	0,	
111	4,5963e-002	3,8567e-002	0,	
112	4,0148e-002	4,4589e-002	0,	
113	3,3552e-002	4,9742e-002	0,	
114	2,6302e-002	5,3928e-002	0,	
115	1,8541e-002	5,7063e-002	0,	
116	1,0419e-002	5,9088e-002	0,	
117	2,094e-003	5,9963e-002	0,	
118	-6,2717e-003	5,9671e-002	0,	
119	-1,4515e-002	5,8218e-002	0,	
120	-2,2476e-002	5,5631e-002	0,	
121	-3,e-002	5,1962e-002	0,	
122	-3,694e-002	4,7281e-002	0,	
123	-4,316e-002	4,168e-002	0,	
124	-4,8541e-002	3,5267e-002	0,	
125	-5,2977e-002	2,8168e-002	0,	
126	-5,6382e-002	2,0521e-002	0,	
127	-5,8689e-002	1,2475e-002	0,	
128	-5,9854e-002	4,1854e-003	0,	
129	-5,9854e-002	-4,1854e-003	0,	
130	-5,8689e-002	-1,2475e-002	0,	
131	-5,6382e-002	-2,0521e-002	0,	
132	-5,2977e-002	-2,8168e-002	0,	
133	-4,8541e-002	-3,5267e-002	0,	
134	-4,316e-002	-4,168e-002	0,	
135	-3,694e-002	-4,7281e-002	0,	
136	-3,e-002	-5,1962e-002	0,	
137	-2,2476e-002	-5,5631e-002	0,	
138	-1,4515e-002	-5,8218e-002	0,	
139	-6,2717e-003	-5,9671e-002	0,	
140	2,094e-003	-5,9963e-002	0,	
141	1,0419e-002	-5,9088e-002	0,	
142	1,8541e-002	-5,7063e-002	0,	
143	2,6302e-002	-5,3928e-002	0,	
144	3,3552e-002	-4,9742e-002	0,	
145	4,0148e-002	-4,4589e-002	0,	
146	4,5963e-002	-3,8567e-002	0,	
147	5,0883e-002	-3,1795e-002	0,	
148	5,4813e-002	-2,4404e-002	0,	
149	5,7676e-002	-1,6538e-002	0,	
150	5,9416e-002	-8,3504e-003	0,	
175	3,e-003	-5,e-002	0,	
176	1,5e-003	-4,7402e-002	0,	
177	-1,5e-003	-4,7402e-002	0,	
178	-3,e-003	-5,e-002	0,	
179	-1,5e-003	-5,2598e-002	0,	
180	1,5e-003	-5,2598e-002	0,	
181	3,e-003	5,e-002	0,	
182	1,5e-003	5,2598e-002	0,	
183	-1,5e-003	5,2598e-002	0,	
184	-3,e-003	5,e-002	0,	
185	-1,5e-003	4,7402e-002	0,	
186	1,5e-003	4,7402e-002	0,	
187	-4,8733e-002	3,6739e-019	0,	
188	-5,0233e-002	2,5981e-003	0,	
189	-5,3233e-002	2,5981e-003	0,	
190	-5,4733e-002	8,6736e-019	0,	
191	-5,3233e-002	-2,5981e-003	0,	
192	-5,0233e-002	-2,5981e-003	0,	
193	5,4733e-002	3,6739e-019	0,	
194	5,3233e-002	2,5981e-003	0,	
195	5,0233e-002	2,5981e-003	0,	
196	4,8733e-002	8,6736e-019	0,	
197	5,0233e-002	-2,5981e-003	0,	
198	5,3233e-002	-2,5981e-003	0,	
199	3,e-002	3,6739e-018	0,	
200	2,8888e-002	8,0939e-003	0,	
201	2,5633e-002	1,5588e-002	0,	
202	2,0477e-002	2,1925e-002	0,	
203	1,3802e-002	2,6637e-002	0,	
204	6,1037e-003	2,9373e-002	0,	
205	-2,0473e-003	2,993e-002	0,	
206	-1,0046e-002	2,8268e-002	0,	
207	-1,73e-002	2,4509e-002	0,	
208	-2,3271e-002	1,8933e-002	0,	
209	-2,7516e-002	1,1952e-002	0,	
210	-2,9721e-002	4,085e-003	0,	
211	-2,9721e-002	-4,085e-003	0,	
212	-2,7516e-002	-1,1952e-002	0,	
213	-2,3271e-002	-1,8933e-002	0,	
214	-1,73e-002	-2,4509e-002	0,	
215	-1,0046e-002	-2,8268e-002	0,	
216	-2,0473e-003	-2,993e-002	0,	
217	6,1037e-003	-2,9373e-002	0,	
218	1,3802e-002	-2,6637e-002	0,	
219	2,0477e-002	-2,1925e-002	0,	
220	2,5633e-002	-1,5588e-002	0,	
221	2,8888e-002	-8,0939e-003	0,	
301	7,1159e-003	3,8236e-002	0,	
302	7,1159e-003	-3,8236e-002	0,	
303	-3,7883e-002	5,7282e-003	0,	
304	-3,7755e-002	-8,569e-003	0,	
305	-8,0291e-003	3,9012e-002	0,	
306	-8,0291e-003	-3,9012e-002	0,	
307	4,1204e-002	5,5045e-003	0,	
308	4,1212e-002	-5,4733e-003	0,	
309	-3,8124e-002	2,355e-002	0,	
310	-3,8124e-002	-2,355e-002	0,	
311	1,9955e-002	-4,4025e-002	0,	
312	1,0063e-002	-4,9331e-002	0,	
