Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	
1	-23,	20,	-1,1061e-014	
2	-21,978	20,	6,7794	
3	-19,003	20,	12,956	
4	-14,34	20,	17,982	
5	-8,4028	20,	21,41	
6	-1,7188	20,	22,936	
7	5,118	20,	22,423	
8	11,5	20,	19,919	
9	16,86	20,	15,644	
10	20,722	20,	9,9793	
11	22,743	20,	3,428	
12	22,743	20,	-3,428	
13	20,722	20,	-9,9793	
14	16,86	20,	-15,644	
15	11,5	20,	-19,919	
16	5,118	20,	-22,423	
17	-1,7188	20,	-22,936	
18	-8,4028	20,	-21,41	
19	-14,34	20,	-17,982	
20	-19,003	20,	-12,956	
21	-21,978	20,	-6,7794	
22	-23,	16,59	-1,3878e-014	
23	-21,978	16,59	6,7794	
24	-19,003	16,59	12,956	
25	-14,34	16,59	17,982	
26	-8,4028	16,59	21,41	
27	-1,7188	16,59	22,936	
28	5,118	16,59	22,423	
29	11,5	16,59	19,919	
30	16,86	16,59	15,644	
31	20,722	16,59	9,9793	
32	22,743	16,59	3,428	
33	22,743	16,59	-3,428	
34	20,722	16,59	-9,9793	
35	16,86	16,59	-15,644	
36	11,5	16,59	-19,919	
37	5,118	16,59	-22,423	
38	-1,7188	16,59	-22,936	
39	-8,4028	16,59	-21,41	
40	-14,34	16,59	-17,982	
41	-19,003	16,59	-12,956	
42	-21,978	16,59	-6,7794	
43	-15,	16,59	6,0668e-020	
44	-13,515	16,59	6,5083	
45	-9,3523	16,59	11,727	
46	-3,3378	16,59	14,624	
47	3,3378	16,59	14,624	
48	9,3523	16,59	11,727	
49	13,515	16,59	6,5083	
50	15,	16,59	7,0411e-015	
51	13,515	16,59	-6,5083	
52	9,3523	16,59	-11,727	
53	3,3378	16,59	-14,624	
54	-3,3378	16,59	-14,624	
55	-9,3523	16,59	-11,727	
56	-13,515	16,59	-6,5083	
57	-15,	0,	-1,837e-015	
58	-13,515	0,	-6,5083	
59	-9,3523	0,	-11,727	
60	-3,3378	0,	-14,624	
61	3,3378	0,	-14,624	
62	9,3523	0,	-11,727	
63	13,515	0,	-6,5083	
64	15,	0,	-5,2042e-015	
65	13,515	0,	6,5083	
66	9,3523	0,	11,727	
67	3,3378	0,	14,624	
68	-3,3378	0,	14,624	
69	-9,3523	0,	11,727	
70	-13,515	0,	6,5083	
71	-48,908	20,	-34,756	
72	-45,814	20,	-38,743	
73	-45,814	0,	-38,743	
74	-45,814	6,6667	-38,743	
75	-45,814	13,333	-38,743	
76	-48,908	0,	-34,756	
77	-48,908	6,6667	-34,756	
78	-48,908	13,333	-34,756	
79	-25,218	20,	-18,147	
80	-41,695	20,	-34,624	
81	-37,576	20,	-30,505	
82	-33,457	20,	-26,386	
83	-29,338	20,	-22,266	
84	-25,218	0,	-18,147	
85	-25,218	6,6667	-18,147	
86	-25,218	13,333	-18,147	
87	-29,338	0,	-22,266	
88	-33,457	0,	-26,386	
89	-37,576	0,	-30,505	
90	-41,695	0,	-34,624	
91	-18,147	20,	-25,218	
92	-21,683	20,	-21,683	
93	-18,147	0,	-25,218	
94	-18,147	6,6667	-25,218	
95	-18,147	13,333	-25,218	
96	-21,683	0,	-21,683	
97	-38,743	20,	-45,814	
98	-22,266	20,	-29,338	
99	-26,386	20,	-33,457	
100	-30,505	20,	-37,576	
101	-34,624	20,	-41,695	
102	-38,743	0,	-45,814	
103	-38,743	6,6667	-45,814	
104	-38,743	13,333	-45,814	
105	-34,624	0,	-41,695	
106	-30,505	0,	-37,576	
107	-26,386	0,	-33,457	
108	-22,266	0,	-29,338	
109	-34,756	20,	-48,908	
110	-34,756	0,	-48,908	
111	-34,756	6,6667	-48,908	
112	-34,756	13,333	-48,908	
113	34,756	20,	-48,908	
114	-29,879	20,	-44,763	
115	-24,513	20,	-41,274	
116	-18,745	20,	-38,5	
117	-12,67	20,	-36,485	
118	-6,3874	20,	-35,262	
119	1,0259e-013	20,	-34,853	
120	6,3874	20,	-35,262	
121	12,67	20,	-36,485	
122	18,745	20,	-38,5	
123	24,513	20,	-41,274	
124	29,879	20,	-44,763	
125	34,756	0,	-48,908	
126	34,756	6,6667	-48,908	
127	34,756	13,333	-48,908	
128	29,879	0,	-44,763	
129	24,513	0,	-41,274	
130	18,745	0,	-38,5	
131	12,67	0,	-36,485	
132	6,3874	0,	-35,262	
133	5,4017e-014	0,	-34,853	
134	-6,3874	0,	-35,262	
135	-12,67	0,	-36,485	
136	-18,745	0,	-38,5	
137	-24,513	0,	-41,274	
138	-29,879	0,	-44,763	
139	38,743	20,	-45,814	
140	38,743	0,	-45,814	
141	38,743	6,6667	-45,814	
142	38,743	13,333	-45,814	
143	18,147	20,	-25,218	
144	34,624	20,	-41,695	
145	30,505	20,	-37,576	
146	26,386	20,	-33,457	
147	22,266	20,	-29,338	
148	18,147	0,	-25,218	
149	18,147	6,6667	-25,218	
150	18,147	13,333	-25,218	
151	22,266	0,	-29,338	
152	26,386	0,	-33,457	
153	30,505	0,	-37,576	
154	34,624	0,	-41,695	
155	25,218	20,	-18,147	
156	21,683	20,	-21,683	
157	25,218	0,	-18,147	
158	25,218	6,6667	-18,147	
159	25,218	13,333	-18,147	
160	21,683	0,	-21,683	
161	45,814	20,	-38,743	
162	29,338	20,	-22,266	
163	33,457	20,	-26,386	
164	37,576	20,	-30,505	
165	41,695	20,	-34,624	
166	45,814	0,	-38,743	
167	45,814	6,6667	-38,743	
168	45,814	13,333	-38,743	
169	41,695	0,	-34,624	
170	37,576	0,	-30,505	
171	33,457	0,	-26,386	
172	29,338	0,	-22,266	
173	48,908	20,	-34,756	
174	48,908	0,	-34,756	
175	48,908	6,6667	-34,756	
176	48,908	13,333	-34,756	
177	48,908	20,	34,756	
178	44,763	20,	-29,879	
179	41,274	20,	-24,513	
180	38,5	20,	-18,745	
181	36,485	20,	-12,67	
182	35,262	20,	-6,3874	
183	34,853	20,	-5,8981e-014	
184	35,262	20,	6,3874	
185	36,485	20,	12,67	
186	38,5	20,	18,745	
187	41,274	20,	24,513	
188	44,763	20,	29,879	
189	48,908	0,	34,756	
190	48,908	6,6667	34,756	
191	48,908	13,333	34,756	
192	44,763	0,	29,879	
193	41,274	0,	24,513	
194	38,5	0,	18,745	
195	36,485	0,	12,67	
196	35,262	0,	6,3874	
197	34,853	0,	6,245e-014	
198	35,262	0,	-6,3874	
199	36,485	0,	-12,67	
200	38,5	0,	-18,745	
201	41,274	0,	-24,513	
202	44,763	0,	-29,879	
203	45,814	20,	38,743	
204	45,814	0,	38,743	
205	45,814	6,6667	38,743	
206	45,814	13,333	38,743	
207	25,218	20,	18,147	
208	41,695	20,	34,624	
209	37,576	20,	30,505	
210	33,457	20,	26,386	
211	29,338	20,	22,266	
212	25,218	0,	18,147	
213	25,218	6,6667	18,147	
214	25,218	13,333	18,147	
215	29,338	0,	22,266	
216	33,457	0,	26,386	
217	37,576	0,	30,505	
218	41,695	0,	34,624	
219	18,147	20,	25,218	
220	21,683	20,	21,683	
221	18,147	0,	25,218	
222	18,147	6,6667	25,218	
223	18,147	13,333	25,218	
224	21,683	0,	21,683	
225	38,743	20,	45,814	
226	22,266	20,	29,338	
227	26,386	20,	33,457	
228	30,505	20,	37,576	
229	34,624	20,	41,695	
230	38,743	0,	45,814	
231	38,743	6,6667	45,814	
232	38,743	13,333	45,814	
233	34,624	0,	41,695	
234	30,505	0,	37,576	
235	26,386	0,	33,457	
236	22,266	0,	29,338	
237	34,756	20,	48,908	
238	34,756	0,	48,908	
239	34,756	6,6667	48,908	
240	34,756	13,333	48,908	
241	-34,756	20,	48,908	
242	29,879	20,	44,763	
243	24,513	20,	41,274	
244	18,745	20,	38,5	
245	12,67	20,	36,485	
246	6,3874	20,	35,262	
247	-9,5651e-014	20,	34,853	
248	-6,3874	20,	35,262	
249	-12,67	20,	36,485	
250	-18,745	20,	38,5	
251	-24,513	20,	41,274	
252	-29,879	20,	44,763	
253	-34,756	0,	48,908	
254	-34,756	6,6667	48,908	
255	-34,756	13,333	48,908	
256	-29,879	0,	44,763	
257	-24,513	0,	41,274	
258	-18,745	0,	38,5	
259	-12,67	0,	36,485	
260	-6,3874	0,	35,262	
261	1,1252e-013	0,	34,853	
262	6,3874	0,	35,262	
263	12,67	0,	36,485	
264	18,745	0,	38,5	
265	24,513	0,	41,274	
266	29,879	0,	44,763	
267	-38,743	20,	45,814	
268	-38,743	0,	45,814	
269	-38,743	6,6667	45,814	
270	-38,743	13,333	45,814	
271	-18,147	20,	25,218	
272	-34,624	20,	41,695	
273	-30,505	20,	37,576	
274	-26,386	20,	33,457	
275	-22,266	20,	29,338	
276	-18,147	0,	25,218	
277	-18,147	6,6667	25,218	
278	-18,147	13,333	25,218	
279	-34,624	0,	41,695	
280	-30,505	0,	37,576	
281	-26,386	0,	33,457	
282	-22,266	0,	29,338	
283	-25,218	20,	18,147	
284	-21,683	20,	21,683	
285	-25,218	0,	18,147	
286	-25,218	6,6667	18,147	
287	-25,218	13,333	18,147	
288	-21,683	0,	21,683	
289	-45,814	20,	38,743	
290	-29,338	20,	22,266	
291	-33,457	20,	26,386	
292	-37,576	20,	30,505	
293	-41,695	20,	34,624	
294	-45,814	0,	38,743	
295	-45,814	6,6667	38,743	
296	-45,814	13,333	38,743	
297	-29,338	0,	22,266	
298	-33,457	0,	26,386	
299	-37,576	0,	30,505	
300	-41,695	0,	34,624	
301	-48,908	20,	34,756	
302	-48,908	0,	34,756	
303	-48,908	6,6667	34,756	
304	-48,908	13,333	34,756	
305	-44,763	20,	29,879	
306	-41,274	20,	24,513	
307	-38,5	20,	18,745	
308	-36,485	20,	12,67	
309	-35,262	20,	6,3874	
310	-34,853	20,	-4,8572e-014	
311	-35,262	20,	-6,3874	
312	-36,485	20,	-12,67	
313	-38,5	20,	-18,745	
314	-41,274	20,	-24,513	
315	-44,763	20,	-29,879	
316	-44,763	0,	-29,879	
317	-41,274	0,	-24,513	
318	-38,5	0,	-18,745	
319	-36,485	0,	-12,67	
320	-35,262	0,	-6,3874	
321	-34,853	0,	1,1102e-013	
322	-35,262	0,	6,3874	
323	-36,485	0,	12,67	
324	-38,5	0,	18,745	
325	-41,274	0,	24,513	
326	-44,763	0,	29,879	
327	24,389	0,	-6,4478	
328	-24,389	0,	-6,4478	
329	24,389	0,	6,4478	
330	-24,389	0,	6,4478	
331	6,3362	0,	-23,799	
332	-6,7296	0,	-24,719	
333	6,3362	0,	23,799	
334	-6,7296	0,	24,719	
335	-17,005	0,	-16,35	
336	16,949	0,	-16,219	
337	-17,005	0,	16,35	
338	16,949	0,	16,219	
339	13,476	20,	29,629	
340	13,476	20,	-29,629	
341	29,753	20,	13,089	
342	29,753	20,	-13,089	
343	-8,7677	8,0506	-12,171	
344	4,1564	8,3198	14,413	
345	-12,108	9,0688	8,8538	
346	12,632	7,7458	8,0892	
347	12,108	9,0688	-8,8538	
348	4,5441	6,929	-14,295	
349	-5,7361	6,7665	13,86	
350	-14,661	8,0104	-3,1688	
351	-43,278	12,988	27,776	
352	-36,958	13,915	14,357	
353	-34,883	13,856	1,7308	
354	-36,06	13,934	-10,92	
355	-39,811	13,923	-21,707	
356	-43,471	6,6961	-28,063	
357	-36,895	6,6734	-14,143	
358	-34,854	5,8857	-0,29683	
359	-36,425	5,9393	12,44	
360	-41,122	5,9126	24,241	
361	-39,399	12,107	20,832	
362	-35,606	12,103	8,6476	
