Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	-2,3e-002	2,449e-002	9,3024e-023	
2	-2,1447e-002	2,449e-002	8,3086e-003	
3	-1,6997e-002	2,449e-002	1,5495e-002	
4	-1,0252e-002	2,449e-002	2,0589e-002	
5	-2,1222e-003	2,449e-002	2,2902e-002	
6	6,2942e-003	2,449e-002	2,2122e-002	
7	1,3861e-002	2,449e-002	1,8354e-002	
8	1,9555e-002	2,449e-002	1,2108e-002	
9	2,2608e-002	2,449e-002	4,2262e-003	
10	2,2608e-002	2,449e-002	-4,2262e-003	
11	1,9555e-002	2,449e-002	-1,2108e-002	
12	1,3861e-002	2,449e-002	-1,8354e-002	
13	6,2942e-003	2,449e-002	-2,2122e-002	
14	-2,1222e-003	2,449e-002	-2,2902e-002	
15	-1,0252e-002	2,449e-002	-2,0589e-002	
16	-1,6997e-002	2,449e-002	-1,5495e-002	
17	-2,1447e-002	2,449e-002	-8,3086e-003	
18	-2,3e-002	8,53e-003	9,3024e-023	
19	-2,1447e-002	8,53e-003	8,3086e-003	
20	-1,6997e-002	8,53e-003	1,5495e-002	
21	-1,0252e-002	8,53e-003	2,0589e-002	
22	-2,1222e-003	8,53e-003	2,2902e-002	
23	6,2942e-003	8,53e-003	2,2122e-002	
24	1,3861e-002	8,53e-003	1,8354e-002	
25	1,9555e-002	8,53e-003	1,2108e-002	
26	2,2608e-002	8,53e-003	4,2262e-003	
27	2,2608e-002	8,53e-003	-4,2262e-003	
28	1,9555e-002	8,53e-003	-1,2108e-002	
29	1,3861e-002	8,53e-003	-1,8354e-002	
30	6,2942e-003	8,53e-003	-2,2122e-002	
31	-2,1222e-003	8,53e-003	-2,2902e-002	
32	-1,0252e-002	8,53e-003	-2,0589e-002	
33	-1,6997e-002	8,53e-003	-1,5495e-002	
34	-2,1447e-002	8,53e-003	-8,3086e-003	
35	-1,2e-002	8,53e-003	5,3291e-018	
36	-9,1925e-003	8,53e-003	7,7135e-003	
37	-2,0838e-003	8,53e-003	1,1818e-002	
38	6,e-003	8,53e-003	1,0392e-002	
39	1,1276e-002	8,53e-003	4,1042e-003	
40	1,1276e-002	8,53e-003	-4,1042e-003	
41	6,e-003	8,53e-003	-1,0392e-002	
42	-2,0838e-003	8,53e-003	-1,1818e-002	
43	-9,1925e-003	8,53e-003	-7,7135e-003	
44	-1,2e-002	0,	-6,7986e-018	
45	-9,1925e-003	0,	-7,7135e-003	
46	-2,0838e-003	0,	-1,1818e-002	
47	6,e-003	0,	-1,0392e-002	
48	1,1276e-002	0,	-4,1042e-003	
49	1,1276e-002	0,	4,1042e-003	
50	6,e-003	0,	1,0392e-002	
51	-2,0838e-003	0,	1,1818e-002	
52	-9,1925e-003	0,	7,7135e-003	
53	-3,95e-002	2,449e-002	-3,1e-002	
