Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	4,e-002	-2,2662e-017	1,e-002	
2	3,9126e-002	8,3165e-003	1,e-002	
3	3,6542e-002	1,6269e-002	1,e-002	
4	3,2361e-002	2,3511e-002	1,e-002	
5	2,6765e-002	2,9726e-002	1,e-002	
6	2,e-002	3,4641e-002	1,e-002	
7	1,2361e-002	3,8042e-002	1,e-002	
8	4,1811e-003	3,9781e-002	1,e-002	
9	-4,1811e-003	3,9781e-002	1,e-002	
10	-1,2361e-002	3,8042e-002	1,e-002	
11	-2,e-002	3,4641e-002	1,e-002	
12	-2,6765e-002	2,9726e-002	1,e-002	
13	-3,2361e-002	2,3511e-002	1,e-002	
14	-3,6542e-002	1,6269e-002	1,e-002	
15	-3,9126e-002	8,3165e-003	1,e-002	
16	-4,e-002	2,4286e-017	1,e-002	
17	-3,9126e-002	-8,3165e-003	1,e-002	
18	-3,6542e-002	-1,6269e-002	1,e-002	
19	-3,2361e-002	-2,3511e-002	1,e-002	
20	-2,6765e-002	-2,9726e-002	1,e-002	
21	-2,e-002	-3,4641e-002	1,e-002	
22	-1,2361e-002	-3,8042e-002	1,e-002	
23	-4,1811e-003	-3,9781e-002	1,e-002	
24	4,1811e-003	-3,9781e-002	1,e-002	
25	1,2361e-002	-3,8042e-002	1,e-002	
26	2,e-002	-3,4641e-002	1,e-002	
27	2,6765e-002	-2,9726e-002	1,e-002	
28	3,2361e-002	-2,3511e-002	1,e-002	
29	3,6542e-002	-1,6269e-002	1,e-002	
30	3,9126e-002	-8,3165e-003	1,e-002	
31	4,e-002	-2,2662e-017	2,e-002	
32	3,9126e-002	8,3165e-003	2,e-002	
33	3,6542e-002	1,6269e-002	2,e-002	
34	3,2361e-002	2,3511e-002	2,e-002	
35	2,6765e-002	2,9726e-002	2,e-002	
36	2,e-002	3,4641e-002	2,e-002	
37	1,2361e-002	3,8042e-002	2,e-002	
38	4,1811e-003	3,9781e-002	2,e-002	
39	-4,1811e-003	3,9781e-002	2,e-002	
40	-1,2361e-002	3,8042e-002	2,e-002	
41	-2,e-002	3,4641e-002	2,e-002	
42	-2,6765e-002	2,9726e-002	2,e-002	
43	-3,2361e-002	2,3511e-002	2,e-002	
44	-3,6542e-002	1,6269e-002	2,e-002	
45	-3,9126e-002	8,3165e-003	2,e-002	
46	-4,e-002	2,4286e-017	2,e-002	
47	-3,9126e-002	-8,3165e-003	2,e-002	
48	-3,6542e-002	-1,6269e-002	2,e-002	
49	-3,2361e-002	-2,3511e-002	2,e-002	
50	-2,6765e-002	-2,9726e-002	2,e-002	
51	-2,e-002	-3,4641e-002	2,e-002	
52	-1,2361e-002	-3,8042e-002	2,e-002	
53	-4,1811e-003	-3,9781e-002	2,e-002	
54	4,1811e-003	-3,9781e-002	2,e-002	
55	1,2361e-002	-3,8042e-002	2,e-002	
56	2,e-002	-3,4641e-002	2,e-002	
57	2,6765e-002	-2,9726e-002	2,e-002	
58	3,2361e-002	-2,3511e-002	2,e-002	
59	3,6542e-002	-1,6269e-002	2,e-002	
60	3,9126e-002	-8,3165e-003	2,e-002	
61	6,e-002	7,3479e-018	2,e-002	
62	5,9416e-002	8,3504e-003	2,e-002	
63	5,7676e-002	1,6538e-002	2,e-002	
64	5,4813e-002	2,4404e-002	2,e-002	
65	5,0883e-002	3,1795e-002	2,e-002	
66	4,5963e-002	3,8567e-002	2,e-002	
67	4,0148e-002	4,4589e-002	2,e-002	
68	3,3552e-002	4,9742e-002	2,e-002	
69	2,6302e-002	5,3928e-002	2,e-002	
70	1,8541e-002	5,7063e-002	2,e-002	
71	1,0419e-002	5,9088e-002	2,e-002	
72	2,094e-003	5,9963e-002	2,e-002	
73	-6,2717e-003	5,9671e-002	2,e-002	
74	-1,4515e-002	5,8218e-002	2,e-002	
75	-2,2476e-002	5,5631e-002	2,e-002	
76	-3,e-002	5,1962e-002	2,e-002	
77	-3,694e-002	4,7281e-002	2,e-002	
78	-4,316e-002	4,168e-002	2,e-002	
79	-4,8541e-002	3,5267e-002	2,e-002	
80	-5,2977e-002	2,8168e-002	2,e-002	
81	-5,6382e-002	2,0521e-002	2,e-002	
82	-5,8689e-002	1,2475e-002	2,e-002	
83	-5,9854e-002	4,1854e-003	2,e-002	
84	-5,9854e-002	-4,1854e-003	2,e-002	
85	-5,8689e-002	-1,2475e-002	2,e-002	
86	-5,6382e-002	-2,0521e-002	2,e-002	
87	-5,2977e-002	-2,8168e-002	2,e-002	
88	-4,8541e-002	-3,5267e-002	2,e-002	
89	-4,316e-002	-4,168e-002	2,e-002	
90	-3,694e-002	-4,7281e-002	2,e-002	
91	-3,e-002	-5,1962e-002	2,e-002	
92	-2,2476e-002	-5,5631e-002	2,e-002	
93	-1,4515e-002	-5,8218e-002	2,e-002	
94	-6,2717e-003	-5,9671e-002	2,e-002	
95	2,094e-003	-5,9963e-002	2,e-002	
96	1,0419e-002	-5,9088e-002	2,e-002	
97	1,8541e-002	-5,7063e-002	2,e-002	
98	2,6302e-002	-5,3928e-002	2,e-002	
99	3,3552e-002	-4,9742e-002	2,e-002	
100	4,0148e-002	-4,4589e-002	2,e-002	
101	4,5963e-002	-3,8567e-002	2,e-002	
102	5,0883e-002	-3,1795e-002	2,e-002	
103	5,4813e-002	-2,4404e-002	2,e-002	
104	5,7676e-002	-1,6538e-002	2,e-002	
105	5,9416e-002	-8,3504e-003	2,e-002	
106	6,e-002	7,3479e-018	0,	
107	5,9416e-002	8,3504e-003	0,	
108	5,7676e-002	1,6538e-002	0,	
109	5,4813e-002	2,4404e-002	0,	
110	5,0883e-002	3,1795e-002	0,	
111	4,5963e-002	3,8567e-002	0,	
112	4,0148e-002	4,4589e-002	0,	
113	3,3552e-002	4,9742e-002	0,	
114	2,6302e-002	5,3928e-002	0,	
115	1,8541e-002	5,7063e-002	0,	
116	1,0419e-002	5,9088e-002	0,	
117	2,094e-003	5,9963e-002	0,	
118	-6,2717e-003	5,9671e-002	0,	
119	-1,4515e-002	5,8218e-002	0,	
120	-2,2476e-002	5,5631e-002	0,	
121	-3,e-002	5,1962e-002	0,	
122	-3,694e-002	4,7281e-002	0,	
123	-4,316e-002	4,168e-002	0,	
124	-4,8541e-002	3,5267e-002	0,	
125	-5,2977e-002	2,8168e-002	0,	
126	-5,6382e-002	2,0521e-002	0,	
127	-5,8689e-002	1,2475e-002	0,	
128	-5,9854e-002	4,1854e-003	0,	
129	-5,9854e-002	-4,1854e-003	0,	
130	-5,8689e-002	-1,2475e-002	0,	
131	-5,6382e-002	-2,0521e-002	0,	
132	-5,2977e-002	-2,8168e-002	0,	
133	-4,8541e-002	-3,5267e-002	0,	
134	-4,316e-002	-4,168e-002	0,	
135	-3,694e-002	-4,7281e-002	0,	
136	-3,e-002	-5,1962e-002	0,	
137	-2,2476e-002	-5,5631e-002	0,	
138	-1,4515e-002	-5,8218e-002	0,	
139	-6,2717e-003	-5,9671e-002	0,	
140	2,094e-003	-5,9963e-002	0,	
141	1,0419e-002	-5,9088e-002	0,	
142	1,8541e-002	-5,7063e-002	0,	
143	2,6302e-002	-5,3928e-002	0,	
144	3,3552e-002	-4,9742e-002	0,	
145	4,0148e-002	-4,4589e-002	0,	
146	4,5963e-002	-3,8567e-002	0,	
147	5,0883e-002	-3,1795e-002	0,	
148	5,4813e-002	-2,4404e-002	0,	
149	5,7676e-002	-1,6538e-002	0,	
150	5,9416e-002	-8,3504e-003	0,	
151	3,e-003	-5,e-002	2,e-002	
152	1,5e-003	-4,7402e-002	2,e-002	
153	-1,5e-003	-4,7402e-002	2,e-002	
154	-3,e-003	-5,e-002	2,e-002	
155	-1,5e-003	-5,2598e-002	2,e-002	
156	1,5e-003	-5,2598e-002	2,e-002	
157	3,e-003	5,e-002	2,e-002	
158	1,5e-003	5,2598e-002	2,e-002	
159	-1,5e-003	5,2598e-002	2,e-002	
160	-3,e-003	5,e-002	2,e-002	
161	-1,5e-003	4,7402e-002	2,e-002	
162	1,5e-003	4,7402e-002	2,e-002	
163	-4,8733e-002	3,6739e-019	2,e-002	
164	-5,0233e-002	2,5981e-003	2,e-002	
165	-5,3233e-002	2,5981e-003	2,e-002	
166	-5,4733e-002	8,6736e-019	2,e-002	
167	-5,3233e-002	-2,5981e-003	2,e-002	
168	-5,0233e-002	-2,5981e-003	2,e-002	
169	5,4733e-002	3,6739e-019	2,e-002	
170	5,3233e-002	2,5981e-003	2,e-002	
