Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	-2,3e-002	2,e-002	-1,1061e-017	
2	-2,1978e-002	2,e-002	6,7794e-003	
3	-1,9003e-002	2,e-002	1,2956e-002	
4	-1,434e-002	2,e-002	1,7982e-002	
5	-8,4028e-003	2,e-002	2,141e-002	
6	-1,7188e-003	2,e-002	2,2936e-002	
7	5,118e-003	2,e-002	2,2423e-002	
8	1,15e-002	2,e-002	1,9919e-002	
9	1,686e-002	2,e-002	1,5644e-002	
10	2,0722e-002	2,e-002	9,9793e-003	
11	2,2743e-002	2,e-002	3,428e-003	
12	2,2743e-002	2,e-002	-3,428e-003	
13	2,0722e-002	2,e-002	-9,9793e-003	
14	1,686e-002	2,e-002	-1,5644e-002	
15	1,15e-002	2,e-002	-1,9919e-002	
16	5,118e-003	2,e-002	-2,2423e-002	
17	-1,7188e-003	2,e-002	-2,2936e-002	
18	-8,4028e-003	2,e-002	-2,141e-002	
19	-1,434e-002	2,e-002	-1,7982e-002	
20	-1,9003e-002	2,e-002	-1,2956e-002	
21	-2,1978e-002	2,e-002	-6,7794e-003	
22	-2,3e-002	1,659e-002	-1,3878e-017	
23	-2,1978e-002	1,659e-002	6,7794e-003	
24	-1,9003e-002	1,659e-002	1,2956e-002	
25	-1,434e-002	1,659e-002	1,7982e-002	
26	-8,4028e-003	1,659e-002	2,141e-002	
27	-1,7188e-003	1,659e-002	2,2936e-002	
28	5,118e-003	1,659e-002	2,2423e-002	
29	1,15e-002	1,659e-002	1,9919e-002	
30	1,686e-002	1,659e-002	1,5644e-002	
31	2,0722e-002	1,659e-002	9,9793e-003	
32	2,2743e-002	1,659e-002	3,428e-003	
33	2,2743e-002	1,659e-002	-3,428e-003	
34	2,0722e-002	1,659e-002	-9,9793e-003	
35	1,686e-002	1,659e-002	-1,5644e-002	
36	1,15e-002	1,659e-002	-1,9919e-002	
37	5,118e-003	1,659e-002	-2,2423e-002	
38	-1,7188e-003	1,659e-002	-2,2936e-002	
39	-8,4028e-003	1,659e-002	-2,141e-002	
40	-1,434e-002	1,659e-002	-1,7982e-002	
41	-1,9003e-002	1,659e-002	-1,2956e-002	
42	-2,1978e-002	1,659e-002	-6,7794e-003	
43	-1,5e-002	1,659e-002	6,0668e-023	
44	-1,3515e-002	1,659e-002	6,5083e-003	
45	-9,3523e-003	1,659e-002	1,1727e-002	
46	-3,3378e-003	1,659e-002	1,4624e-002	
47	3,3378e-003	1,659e-002	1,4624e-002	
48	9,3523e-003	1,659e-002	1,1727e-002	
49	1,3515e-002	1,659e-002	6,5083e-003	
50	1,5e-002	1,659e-002	7,0411e-018	
51	1,3515e-002	1,659e-002	-6,5083e-003	
52	9,3523e-003	1,659e-002	-1,1727e-002	
53	3,3378e-003	1,659e-002	-1,4624e-002	
54	-3,3378e-003	1,659e-002	-1,4624e-002	
55	-9,3523e-003	1,659e-002	-1,1727e-002	
56	-1,3515e-002	1,659e-002	-6,5083e-003	
57	-1,5e-002	0,	-1,837e-018	
58	-1,3515e-002	0,	-6,5083e-003	
59	-9,3523e-003	0,	-1,1727e-002	
60	-3,3378e-003	0,	-1,4624e-002	
61	3,3378e-003	0,	-1,4624e-002	
62	9,3523e-003	0,	-1,1727e-002	
63	1,3515e-002	0,	-6,5083e-003	
64	1,5e-002	0,	-5,2042e-018	
65	1,3515e-002	0,	6,5083e-003	
66	9,3523e-003	0,	1,1727e-002	
67	3,3378e-003	0,	1,4624e-002	
68	-3,3378e-003	0,	1,4624e-002	
69	-9,3523e-003	0,	1,1727e-002	
70	-1,3515e-002	0,	6,5083e-003	
71	-4,8908e-002	2,e-002	-3,4756e-002	
72	-4,5814e-002	2,e-002	-3,8743e-002	
